gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4038892981	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMNE64079-22	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		UNRANKED	BOLD:ACB7374	BOLD:ACB7374					PRESENT		b3bf3a83-1f68-4541-a03f-330d30d567f5													10408025	1380757	MATERIAL_SAMPLE							CC_BY_4_0					2023-07-12T02:15:14.508Z		
4038889979	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMNE64075-22	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		UNRANKED	BOLD:ACB7374	BOLD:ACB7374					PRESENT		b3bf3a83-1f68-4541-a03f-330d30d567f5													10408025	1380757	MATERIAL_SAMPLE							CC_BY_4_0					2023-07-12T02:16:08.771Z		
4038888928	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMNE64081-22	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		UNRANKED	BOLD:ACB7374	BOLD:ACB7374					PRESENT		b3bf3a83-1f68-4541-a03f-330d30d567f5													10408025	1380757	MATERIAL_SAMPLE							CC_BY_4_0					2023-07-12T02:16:05.047Z		
4038888927	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMNE64067-22	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		UNRANKED	BOLD:ACB7374	BOLD:ACB7374					PRESENT		b3bf3a83-1f68-4541-a03f-330d30d567f5													10408025	1380757	MATERIAL_SAMPLE							CC_BY_4_0					2023-07-12T02:16:05.589Z		
4038888009	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMNE64064-22	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		UNRANKED	BOLD:ACV6261	BOLD:ACV6261					PRESENT		b3bf3a83-1f68-4541-a03f-330d30d567f5													10520201	1380757	MATERIAL_SAMPLE							CC_BY_4_0					2023-07-12T02:16:08.646Z		
4038885973	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMNE64073-22	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		UNRANKED	BOLD:ACB7374	BOLD:ACB7374					PRESENT		b3bf3a83-1f68-4541-a03f-330d30d567f5													10408025	1380757	MATERIAL_SAMPLE							CC_BY_4_0					2023-07-12T02:16:05.517Z		
4038885972	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMNE64059-22	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		UNRANKED	BOLD:ACB7374	BOLD:ACB7374					PRESENT		b3bf3a83-1f68-4541-a03f-330d30d567f5													10408025	1380757	MATERIAL_SAMPLE							CC_BY_4_0					2023-07-12T02:15:15.148Z		
4038882965	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMNE64062-22	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		UNRANKED	BOLD:ACV6261	BOLD:ACV6261					PRESENT		b3bf3a83-1f68-4541-a03f-330d30d567f5													10520201	1380757	MATERIAL_SAMPLE							CC_BY_4_0					2023-07-12T02:15:14.504Z		
4038881896	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMNE64080-22	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		UNRANKED	BOLD:ACB7374	BOLD:ACB7374					PRESENT		b3bf3a83-1f68-4541-a03f-330d30d567f5													10408025	1380757	MATERIAL_SAMPLE							CC_BY_4_0					2023-07-12T02:16:08.587Z		
4038881895	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMNE64066-22	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		UNRANKED	BOLD:ACV6261	BOLD:ACV6261					PRESENT		b3bf3a83-1f68-4541-a03f-330d30d567f5													10520201	1380757	MATERIAL_SAMPLE							CC_BY_4_0					2023-07-12T02:16:02.291Z		
